wlBest Fit  Median  -1 Sig  +1 Sig  -2 Sig  +2 sig  
       1.8261505     0.025463030     0.025478610     0.025461647     0.025493503     0.025445944     0.025501686
       1.8254838     0.025461685     0.025477703     0.025460872     0.025492347     0.025445583     0.025500516
       1.8248175     0.025460704     0.025476930     0.025460129     0.025491534     0.025445759     0.025499779
       1.8241518     0.025460492     0.025476481     0.025459698     0.025491125     0.025446488     0.025499417
       1.8234865     0.025464089     0.025478013     0.025461878     0.025493237     0.025449778     0.025501627
       1.8228217     0.025467450     0.025479913     0.025463448     0.025494861     0.025452712     0.025504310
       1.8221574     0.025469287     0.025480817     0.025464385     0.025496042     0.025453762     0.025505469
       1.8214936     0.025470938     0.025481660     0.025465400     0.025496903     0.025454962     0.025506611
       1.8208303     0.025470851     0.025481517     0.025465140     0.025496749     0.025455121     0.025506576
       1.8201675     0.025470870     0.025481343     0.025465167     0.025496531     0.025455338     0.025506675
       1.8195051     0.025472661     0.025482158     0.025466161     0.025497399     0.025456055     0.025506827
       1.8188432     0.025474429     0.025482853     0.025466805     0.025497862     0.025456801     0.025507876
       1.8181818     0.025474557     0.025482783     0.025466603     0.025497814     0.025457053     0.025507866
       1.8175209     0.025474684     0.025482528     0.025466592     0.025497655     0.025456895     0.025507425
       1.8168605     0.025474603     0.025482456     0.025466478     0.025497578     0.025456858     0.025507662
       1.8162005     0.025474515     0.025482382     0.025466603     0.025497495     0.025456684     0.025508093
       1.8155410     0.025473461     0.025481559     0.025465797     0.025496824     0.025455814     0.025507354
       1.8148820     0.025472322     0.025480652     0.025464840     0.025495902     0.025455203     0.025506283
       1.8142235     0.025471201     0.025479860     0.025464202     0.025495188     0.025454408     0.025505605
       1.8135655     0.025470083     0.025479116     0.025463257     0.025494508     0.025453676     0.025504737
       1.8129079     0.025471889     0.025480618     0.025464646     0.025495801     0.025454702     0.025506461
       1.8122508     0.025474382     0.025482556     0.025466584     0.025497778     0.025456838     0.025508071
       1.8115942     0.025475567     0.025483459     0.025467134     0.025498959     0.025457587     0.025509184
       1.8109381     0.025476318     0.025483884     0.025467596     0.025499637     0.025458086     0.025509937
       1.8102824     0.025474576     0.025482442     0.025466066     0.025498029     0.025456773     0.025508852
       1.8096272     0.025471711     0.025480189     0.025464188     0.025496191     0.025454624     0.025506738
       1.8089725     0.025469792     0.025478561     0.025462753     0.025494470     0.025453604     0.025505342
       1.8083183     0.025468442     0.025477470     0.025461673     0.025493401     0.025452946     0.025504211
       1.8076645     0.025467295     0.025476486     0.025460946     0.025492186     0.025452281     0.025503047
       1.8070112     0.025466311     0.025475902     0.025460161     0.025491539     0.025451610     0.025501426
       1.8063584     0.025465710     0.025475358     0.025459735     0.025490714     0.025451264     0.025500885
       1.8057060     0.025465512     0.025475059     0.025459301     0.025490576     0.025450975     0.025500699
       1.8050542     0.025466863     0.025475780     0.025460390     0.025491301     0.025451629     0.025501900
       1.8044027     0.025470426     0.025478483     0.025462880     0.025494321     0.025454032     0.025505206
       1.8037518     0.025472994     0.025480004     0.025464579     0.025496187     0.025455537     0.025507955
       1.8031013     0.025473584     0.025480074     0.025464240     0.025496643     0.025455304     0.025508497
       1.8024513     0.025474240     0.025480233     0.025464430     0.025496838     0.025455377     0.025508744
       1.8018018     0.025475094     0.025480311     0.025464843     0.025496795     0.025455788     0.025508413
       1.8011527     0.025475132     0.025479990     0.025464663     0.025496046     0.025455545     0.025507593
       1.8005041     0.025471208     0.025477703     0.025462384     0.025493462     0.025453640     0.025504439
       1.7998560     0.025467746     0.025475945     0.025460356     0.025490786     0.025451940     0.025501362
       1.7992083     0.025469264     0.025475892     0.025460723     0.025491241     0.025452245     0.025502872
       1.7985612     0.025470781     0.025475872     0.025461132     0.025492215     0.025451946     0.025503790
       1.7979144     0.025470803     0.025475760     0.025461000     0.025492257     0.025452012     0.025503835
       1.7972682     0.025470817     0.025475604     0.025461216     0.025492327     0.025452569     0.025503896
       1.7966223     0.025474022     0.025478157     0.025463727     0.025494061     0.025454570     0.025505612
       1.7959770     0.025477572     0.025481148     0.025466580     0.025496583     0.025457167     0.025508103
       1.7953321     0.025477150     0.025480994     0.025466211     0.025496452     0.025457121     0.025507872
       1.7946877     0.025475772     0.025479879     0.025465708     0.025495430     0.025456814     0.025507266
       1.7940438     0.025474463     0.025479060     0.025464791     0.025494776     0.025456119     0.025506263
       1.7934003     0.025473183     0.025478408     0.025464130     0.025494055     0.025455339     0.025505162
       1.7927573     0.025472986     0.025478284     0.025464003     0.025494157     0.025455113     0.025505421
       1.7921147     0.025473498     0.025478623     0.025464333     0.025494456     0.025455464     0.025505634
       1.7914726     0.025473376     0.025478730     0.025464173     0.025494438     0.025455321     0.025505504
       1.7908309     0.025472618     0.025478033     0.025463750     0.025493846     0.025454918     0.025505189
       1.7901898     0.025470906     0.025476997     0.025462574     0.025492465     0.025453705     0.025504389
       1.7895490     0.025467704     0.025474696     0.025460230     0.025489841     0.025451377     0.025502360
